,TimeStamp,Station.Number,Oxygen.Electrode.Output,Oxygen.Saturation.percent,Calculated.Oxygen
0,2000-01,2.0,10.566666666666668,89.0,9.816666666666665
1,2000-01,3.0,10.492857142857146,89.2857142857143,9.735714285714282
2,2000-01,4.0,10.284210526315784,89.0,9.56315789473684
3,2000-01,8.0,9.3375,87.125,8.749999999999998
4,2000-01,9.0,9.238461538461538,87.03846153846153,8.646153846153847
5,2000-01,10.0,9.172222222222222,87.5,8.588888888888887
6,2000-01,11.0,9.13333333333333,88.06666666666666,8.566666666666666
7,2000-01,12.0,9.233333333333333,89.8888888888889,8.666666666666666
8,2000-01,21.0,8.08,86.86666666666666,7.900000000000002
9,2000-01,22.0,8.0,87.0,7.900000000000002
10,2000-01,24.0,8.099999999999998,87.0,7.9
11,2000-01,25.0,8.200000000000001,87.0,7.899999999999999
12,2000-01,27.0,8.200000000000001,87.0,7.9
13,2000-01,29.0,8.314285714285713,87.0,7.900000000000001
14,2000-01,30.0,8.37692307692308,86.76923076923076,7.900000000000001
15,2000-01,32.0,8.441666666666668,86.0,7.900000000000001
16,2000-01,34.0,8.514285714285714,85.28571428571429,7.899999999999999
17,2000-01,36.0,8.5,85.85714285714286,7.899999999999999
18,2000-01,649.0,10.766666666666667,89.25,9.991666666666667
19,2000-01,657.0,11.099999999999996,88.9090909090909,10.3
20,2000-02,2.0,10.683333333333335,84.0,9.3
21,2000-02,3.0,10.685714285714283,84.42857142857143,9.3
22,2000-02,4.0,10.717647058823529,85.17647058823529,9.347058823529414
23,2000-02,8.0,10.38125,85.6875,9.04375
24,2000-02,9.0,10.21935483870968,85.80645161290323,8.912903225806456
25,2000-02,10.0,10.294444444444443,86.22222222222223,8.983333333333333
26,2000-02,11.0,10.017647058823528,87.35294117647058,8.723529411764705
27,2000-02,12.0,9.93,88.1,8.660000000000002
28,2000-02,13.0,9.82,89.2,8.55
29,2000-02,14.0,9.859999999999998,89.4,8.586666666666668
30,2000-02,15.0,9.676,90.0,8.432000000000002
