TimeStamp,Station.Number,Distance.from.36,Depth,Discrete.Chlorophyll,Chlorophyll.a.a.PHA,Fluorescence,Calculated.Chlorophyll,Discrete.Oxygen,Oxygen.Electrode.Output,Oxygen.Saturation.percent,Calculated.Oxygen,Discrete.SPM,Optical.Backscatter,Calculated.SPM,Measured.Extinction.Coefficient,Salinity,Temperature,Sigma.t,Nitrite,Nitrate...Nitrite,Ammonium,Phosphate,Silicate
2000-01,2.0,127.71000000000002,6.5,,,0.2141666666666667,1.3499999999999999,,10.566666666666668,89.0,9.816666666666665,,0.28833333333333333,44.416666666666664,,4.4575,9.763333333333334,3.2133333333333334,,,,,
2000-01,3.0,125.31999999999995,7.5,1.25,0.44000000000000006,0.2128571428571429,1.3357142857142856,9.8,10.492857142857144,89.28571428571429,9.735714285714284,19.8,0.26785714285714285,41.142857142857146,3.7,5.633571428571429,9.841428571428569,4.122142857142857,,,,,
2000-01,4.0,119.90000000000005,10.0,,,0.21736842105263163,1.3789473684210525,,10.284210526315785,89.0,9.563157894736841,,0.26789473684210524,41.10526315789474,2.0,7.665555555555555,9.933684210526314,5.692777777777778,,,,,
2000-01,8.0,99.77,8.5,,,0.22750000000000004,1.4749999999999996,,9.337499999999999,87.125,8.749999999999998,,0.23625000000000002,35.9375,2.5,17.315624999999997,10.230625,13.152500000000002,,,,,
2000-01,9.0,96.78999999999998,13.5,1.9,0.575,0.24961538461538463,1.673076923076923,8.7,9.238461538461536,87.03846153846153,8.646153846153846,26.4,0.22384615384615378,33.76923076923077,1.9,19.34076923076923,10.284615384615385,14.717692307692309,,,,,
2000-01,10.0,93.59999999999997,9.5,,,0.2627777777777778,1.7666666666666666,,9.172222222222222,87.5,8.588888888888887,,0.215,32.666666666666664,2.2,20.60388888888889,10.302777777777775,15.694444444444441,,,,,
2000-01,11.0,89.77,8.0,,,0.30066666666666664,2.086666666666667,,9.13333333333333,88.06666666666666,8.566666666666666,,0.172,25.2,1.9,22.118666666666662,10.409333333333334,16.855999999999998,,,,,
2000-01,12.0,84.45,5.0,,,0.3433333333333334,2.4444444444444446,,9.233333333333333,89.88888888888889,8.666666666666666,,0.23666666666666666,35.666666666666664,2.9,22.71111111111111,10.47111111111111,17.305555555555554,,,,,
2000-01,21.0,46.63,10.0,3.0,0.575,0.3186666666666666,2.853333333333333,7.9,8.08,86.86666666666666,7.900000000000002,12.9,0.11599999999999998,18.533333333333335,1.3,29.929999999999993,10.732,22.879999999999995,,,,,
2000-01,22.0,43.91999999999999,9.5,,,0.30444444444444435,2.7444444444444436,,8.0,87.0,7.900000000000002,,0.09388888888888891,16.0,1.0,29.98611111111111,10.798333333333328,22.90944444444445,,,,,
2000-01,24.0,37.09000000000001,5.5,3.2,0.65,0.35100000000000003,3.0700000000000003,7.7,8.099999999999998,87.0,7.9,19.3,0.12799999999999997,19.9,1.4,29.47,11.004,22.470999999999997,,,,,
2000-01,25.0,32.84,4.5,,,0.39375000000000004,3.3375,,8.200000000000001,87.0,7.8999999999999995,,0.17124999999999999,25.25,1.7,29.30375,11.065,22.33375,,,,,
2000-01,27.0,26.19,6.0,3.2,0.495,0.3918181818181818,3.3454545454545452,7.8,8.200000000000001,87.0,7.9,29.1,0.28545454545454546,39.18181818181818,2.3,29.329999999999988,10.961818181818183,22.37,,,,,
2000-01,29.0,20.25,7.5,,,0.37857142857142856,3.242857142857143,,8.314285714285713,87.0,7.900000000000001,,0.22214285714285714,31.428571428571427,1.6,29.23071428571428,11.001428571428573,22.287857142857145,,,,,
2000-01,30.0,14.75,7.0,3.6,0.655,0.4115384615384616,3.4846153846153842,7.8,8.37692307692308,86.76923076923077,7.900000000000001,22.4,0.18846153846153849,27.46153846153846,1.9,29.001538461538455,11.018461538461537,22.10769230769231,,,,,
2000-01,32.0,8.150000000000002,6.5,4.15,0.55,0.5008333333333334,4.083333333333333,8.2,8.441666666666668,86.0,7.900000000000001,30.3,0.325,44.083333333333336,2.2,28.21166666666666,11.094999999999999,21.482499999999998,,,,,
2000-01,34.0,3.5300000000000002,4.0,,,0.6057142857142858,4.828571428571429,,8.514285714285714,85.28571428571429,7.8999999999999995,,0.48000000000000004,62.714285714285715,4.5,26.671428571428574,10.995714285714286,20.3,,,,,
2000-01,36.0,0.0,4.0,4.4,0.665,0.5528571428571428,4.442857142857143,8.1,8.5,85.85714285714286,7.8999999999999995,34.8,0.24857142857142858,35.0,2.7,26.84714285714286,11.241428571428573,20.39714285714286,,,,,
2000-01,649.0,132.94000000000003,6.5,1.5,0.5349999999999999,0.22833333333333336,1.4916666666666665,10.0,10.766666666666667,89.25,9.991666666666667,25.2,0.2058333333333333,30.833333333333332,1.6,2.7266666666666666,9.727499999999997,1.8666666666666663,,,,,
2000-01,657.0,147.25,6.0,2.15,0.53,0.2981818181818181,2.0545454545454547,10.3,11.099999999999996,88.9090909090909,10.299999999999999,9.3,0.0818181818181818,10.818181818181818,,0.10727272727272728,8.805454545454547,,,,,,
2000-02,2.0,127.71000000000002,6.5,,,0.27916666666666673,1.5,,10.683333333333335,84.0,9.299999999999999,,0.29916666666666664,42.333333333333336,3.3,0.09999999999999999,10.88,,,,,,
2000-02,3.0,125.31999999999995,7.5,1.35,0.45,0.2678571428571429,1.5,9.3,10.685714285714285,84.42857142857143,9.299999999999999,47.5,0.26571428571428574,38.07142857142857,2.9,0.1,10.970714285714285,,0.53,24.83,7.28,1.53,291.35
2000-02,4.0,119.90000000000003,9.0,,,0.2711764705882353,1.5,,10.71764705882353,85.17647058823529,9.347058823529414,,0.36411764705882343,51.411764705882355,3.8,0.12999999999999995,11.102352941176468,,,,,,
2000-02,8.0,99.77,8.5,,,0.30000000000000004,1.5187500000000003,,10.381250000000001,85.6875,9.043750000000001,,0.633125,88.5,6.0,4.739374999999999,11.431875000000002,3.2474999999999996,,,,,
2000-02,9.0,96.78999999999998,16.0,1.05,0.22000000000000003,0.31161290322580654,1.5354838709677425,9.3,10.21935483870968,85.80645161290323,8.912903225806458,53.2,0.8983870967741935,125.41935483870968,4.4,7.367741935483871,11.52451612903226,5.275483870967743,1.07,29.2,9.03,1.68,254.83
2000-02,10.0,93.59999999999997,9.5,,,0.2727777777777777,1.5,,10.294444444444444,86.22222222222223,8.983333333333333,,0.39777777777777773,55.888888888888886,3.8,7.183333333333334,11.503333333333336,5.133888888888889,,,,,
2000-02,11.0,89.77,9.0,,,0.27,1.5,,10.017647058823528,87.3529411764706,8.723529411764705,,0.2864705882352941,40.470588235294116,2.5,12.78,11.714117647058822,9.435882352941176,,,,,
2000-02,12.0,84.45000000000002,5.5,,,0.265,1.5,,9.930000000000001,88.1,8.660000000000002,,0.20799999999999996,29.6,2.2,14.675,11.783999999999999,10.888,,,,,
2000-02,13.0,78.53999999999999,5.5,1.65,0.485,0.262,1.5,8.9,9.819999999999999,89.2,8.55,20.8,0.20599999999999996,29.4,1.8,18.559999999999995,11.912000000000003,13.873000000000001,0.94,28.06,8.67,2.0,163.36
